OTS Connection List

From,To,Service Designation,Supported Link Designation,Capacity,Required Availability,Sub-routes
node_1,node_2,node_1 <--> node_2,,100,0
node_2,node_3,node_2 <--> node_3,,100,0
node_3,node_4,node_3 <--> node_4,,100,0
node_4,node_5,node_4 <--> node_5,,100,0
node_3,node_5,node_3 <--> node_5,,100,0
node_5,node_6,node_5 <--> node_6,,100,0
node_1,node_2,node_1 <--> node_2 2,node_1 <-> node_2,100,0,start_node,node_1,designations,node_1 <-> node_2,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_2,node_3,node_2 <--> node_3 2,node_2 <-> node_3,100,0,start_node,node_2,designations,node_2 <-> node_3,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_3,node_4,node_3 <--> node_4 2,node_3 <-> node_4,100,0,start_node,node_3,designations,node_3 <-> node_4,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_4,node_5,node_4 <--> node_5 2,node_4 <-> node_5,100,0,start_node,node_4,designations,node_4 <-> node_5,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_5,node_3,node_5 <--> node_3,,100,0
node_5,node_6,node_5 <--> node_6 2,node_5 <-> node_6,100,0,start_node,node_5,designations,node_5 <-> node_6,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_6,node_7,node_6 <--> node_7,node_6 <-> node_7,100,0,start_node,node_6,designations,node_6 <-> node_7,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_7,node_8,node_7 <--> node_8,node_7 <-> node_8,100,0,start_node,node_7,designations,node_7 <-> node_8,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_8,node_9,node_8 <--> node_9,node_8 <-> node_9,100,0,start_node,node_8,designations,node_8 <-> node_9,subdesignations,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ,priority,0,direction,forward,type,no_protection
node_9,node_7,node_9 <--> node_7,,100,0
