Node Delays

Id,Type,Delay,Index
node_1,OTS,INHERIT
node_1,OMS,INHERIT
node_1,OXC,INHERIT
node_1,PP,INHERIT
node_1,ODU XC,INHERIT
node_1,DXC,INHERIT
node_1,LOP,INHERIT
node_2,OTS,INHERIT
node_2,OMS,INHERIT
node_2,OXC,INHERIT
node_2,PP,INHERIT
node_2,ODU XC,INHERIT
node_2,DXC,INHERIT
node_2,LOP,INHERIT
node_3,OTS,INHERIT
node_3,OMS,INHERIT
node_3,OXC,INHERIT
node_3,PP,INHERIT
node_3,ODU XC,INHERIT
node_3,DXC,INHERIT
node_3,LOP,INHERIT
node_4,OTS,INHERIT
node_4,OMS,INHERIT
node_4,OXC,INHERIT
node_4,PP,INHERIT
node_4,ODU XC,INHERIT
node_4,DXC,INHERIT
node_4,LOP,INHERIT
node_5,OTS,INHERIT
node_5,OMS,INHERIT
node_5,OXC,INHERIT
node_5,PP,INHERIT
node_5,ODU XC,INHERIT
node_5,DXC,INHERIT
node_5,LOP,INHERIT
node_6,OTS,INHERIT
node_6,OMS,INHERIT
node_6,OXC,INHERIT
node_6,PP,INHERIT
node_6,ODU XC,INHERIT
node_6,DXC,INHERIT
node_6,LOP,INHERIT
node_9,OTS,INHERIT
node_9,OMS,INHERIT
node_9,OXC,INHERIT
node_9,PP,INHERIT
node_9,ODU XC,INHERIT
node_9,DXC,INHERIT
node_9,LOP,INHERIT
node_7,OTS,INHERIT
node_7,OMS,INHERIT
node_7,OXC,INHERIT
node_7,PP,INHERIT
node_7,ODU XC,INHERIT
node_7,DXC,INHERIT
node_7,LOP,INHERIT
node_8,OTS,INHERIT
node_8,OMS,INHERIT
node_8,OXC,INHERIT
node_8,PP,INHERIT
node_8,ODU XC,INHERIT
node_8,DXC,INHERIT
node_8,LOP,INHERIT
